lyn index =  5
input velocity PDF from ...  output/f_v12_01.out
computing the optical depth from Lya-absorbing clouds ...
48 910.931268034 -3.06337667846e+13 0.000247084116965
49 910.909002785 -3.06345155624e+13 0.000247070407961
50 910.886737536 -3.06352643768e+13 0.000247056699383
51 910.864472287 -3.06360132278e+13 0.00024704299123
52 910.842207037 -3.06367621155e+13 0.000247029283503
53 910.819941788 -3.06375110398e+13 0.000247015576202
54 910.797676539 -3.06382600006e+13 0.000247001869326
55 910.775411289 -3.06390089981e+13 0.000246988162875
56 910.75314604 -3.06397580322e+13 0.00024697445685
57 910.730880791 -3.0640507103e+13 0.000246960751251
58 910.708615542 -3.06412562104e+13 0.000246947046077
59 910.686350292 -3.06420053544e+13 0.000246933341328
60 910.664085043 -3.0642754535e+13 0.000246919637005
61 910.641819794 -3.06435037523e+13 0.000246905933108
62 910.619554544 -3.06442530062e+13 0.000246892229636
63 910.597289295 -3.06450022967e+13 0.00024687852659
64 910.575024046 -3.06457516239e+13 0.000246864823969
65 910.552758797 -3.06465009877e+13 0.000246851121774
66 910.530493547 -3.06472503882e+13 0.000246837420004
67 910.508228298 -3.06479998253e+13 0.00024682371866
68 910.485963049 -3.06487492991e+13 0.000246810017741
69 910.4636978 -3.06494988096e+13 0.000246796317248
70 910.44143255 -3.06502483567e+13 0.00024678261718
71 910.419167301 -3.06509979404e+13 0.000246768917538
72 910.396902052 -3.06517475609e+13 0.000246755218321
73 910.374636802 -3.0652497218e+13 0.000246741519529
74 910.352371553 -3.06532469117e+13 0.000246727821164
75 910.330106304 -3.06539966422e+13 0.000246714123223
76 910.307841055 -3.06547464093e+13 0.000246700425709
77 910.285575805 -3.06554962131e+13 0.000246686728619
78 910.263310556 -3.06562460536e+13 0.000246673031955
79 910.241045307 -3.06569959307e+13 0.000246659335717
80 910.218780057 -3.06577458446e+13 0.000246645639904
81 910.196514808 -3.06584957951e+13 0.000246631944516
82 910.174249559 -3.06592457823e+13 0.000246618249554
83 910.15198431 -3.06599958062e+13 0.000246604555018
84 910.12971906 -3.06607458668e+13 0.000246590860907
85 910.107453811 -3.06614959642e+13 0.000246577167221
86 910.085188562 -3.06622460982e+13 0.000246563473961
87 910.062923312 -3.06629962689e+13 0.000246549781126
88 910.040658063 -3.06637464763e+13 0.000246536088717
89 910.018392814 -3.06644967205e+13 0.000246522396733
90 909.996127565 -3.06652470013e+13 0.000246508705175
91 909.973862315 -3.06659973189e+13 0.000246495014042
92 909.951597066 -3.06667476732e+13 0.000246481323334
93 909.929331817 -3.06674980642e+13 0.000246467633052
94 909.907066567 -3.06682484919e+13 0.000246453943196
95 909.884801318 -3.06689989564e+13 0.000246440253764
96 909.862536069 -3.06697494576e+13 0.000246426564759
97 909.84027082 -3.06704999955e+13 0.000246412876178
98 909.81800557 -3.06712505701e+13 0.000246399188023
99 909.795740321 -3.06720011815e+13 0.000246385500294
100 910.795740321 -3.06383251331e+13 0.000247000677376
101 911.098770624 -3.06281348646e+13 0.000247187264134
