lyn index =  30
input velocity PDF from ...  output/f_v12_01.out
computing the optical depth from Lya-absorbing clouds ...
0 912.0 -3.0002640786e+13 0.000676619379754
1 911.79483584 -3.00093917199e+13 0.000529447229037
2 911.58967168 -3.00161456925e+13 0.000422287197063
3 911.38450752 -3.0022902706e+13 0.000350823982409
4 911.179343361 -3.00296627623e+13 0.000305755847042
5 910.974179201 -3.00364258635e+13 0.00027792514191
6 910.769015041 -3.00431920117e+13 0.000260514162146
7 910.563850881 -3.0049961209e+13 0.000249204617659
8 910.358686721 -3.00567334573e+13 0.000241500579309
9 910.153522561 -3.00635087588e+13 0.000236024375768
10 909.948358401 -3.00702871155e+13 0.000232000511732
11 909.743194241 -3.00770685296e+13 0.000228970103624
12 909.538030082 -3.00838530029e+13 0.000226643201865
13 909.332865922 -3.00906405378e+13 0.000224825728303
14 909.127701762 -3.00974311361e+13 0.000223382360891
15 908.922537602 -3.01042248e+13 0.000222216298255
16 908.717373442 -3.01110215315e+13 0.000221257195438
17 908.512209282 -3.01178213328e+13 0.000220453460822
18 908.307045122 -3.01246242059e+13 0.000219767051244
19 908.101880963 -3.0131430153e+13 0.0002191698211
20 907.896716803 -3.01382391759e+13 0.000218640899734
21 907.691552643 -3.0145051277e+13 0.000218164793983
22 907.486388483 -3.01518664582e+13 0.000217729980744
23 907.281224323 -3.01586847217e+13 0.000217327874693
24 907.076060163 -3.01655060694e+13 0.00021695206099
25 906.870896003 -3.01723305037e+13 0.000216597729566
26 906.665731844 -3.01791580264e+13 0.000215542623292
27 906.460567684 -3.01859886398e+13 0.000210259747557
28 906.255403524 -3.01928223458e+13 0.000210150439197
29 906.050239364 -3.01996591467e+13 0.000210042450567
30 905.845075204 -3.02064990446e+13 0.000209934496782
31 905.639911044 -3.02133420414e+13 0.00020982657529
32 905.434746884 -3.02201881394e+13 0.000209718685874
33 905.229582724 -3.02270373406e+13 0.000209610827416
34 905.024418565 -3.02338896472e+13 0.000209503000021
35 904.819254405 -3.02407450613e+13 0.000209395204264
36 904.614090245 -3.02476035849e+13 0.000209287438598
37 904.408926085 -3.02544652202e+13 0.000209179704196
38 904.203761925 -3.02613299694e+13 0.000209071999947
39 903.998597765 -3.02681978344e+13 0.000208964326954
40 903.793433605 -3.02750688176e+13 0.000208856684571
41 903.588269446 -3.02819429209e+13 0.000208749073805
42 903.383105286 -3.02888201465e+13 0.000208641494193
43 903.177941126 -3.02957004966e+13 0.000208533946425
44 902.972776966 -3.03025839732e+13 0.0002084264302
45 902.767612806 -3.03094705785e+13 0.000208318945221
46 902.562448646 -3.03163603147e+13 0.000208211491819
47 902.357284486 -3.03232531838e+13 0.000208104069661
