lyn index =  9
input velocity PDF from ...  output/f_v12_01.out
computing the optical depth from Lya-absorbing clouds ...
0 912.0 -3.02234649353e+13 0.00128518751579
1 911.862689704 -3.02280160514e+13 0.0012846778001
2 911.725379407 -3.02325685383e+13 0.00128416803564
3 911.588069111 -3.02371223967e+13 0.00128365856818
4 911.450758815 -3.02416776272e+13 0.00128314906536
5 911.313448519 -3.02462342304e+13 0.00128263981031
6 911.176138222 -3.02507922069e+13 0.00128213064978
7 911.038827926 -3.02553515573e+13 0.00128162146996
8 910.90151763 -3.02599122823e+13 0.00128111249976
9 910.764207333 -3.02644743825e+13 0.00128060363304
10 910.626897037 -3.02690378585e+13 0.00128009488283
11 910.489586741 -3.02736027109e+13 0.00127958618141
12 910.352276445 -3.02781689404e+13 0.00127907771637
13 910.214966148 -3.02827365476e+13 0.00127856941724
14 910.077655852 -3.0287305533e+13 0.00127806129641
15 909.940345556 -3.02918758974e+13 0.00127755329765
16 909.803035259 -3.02964476413e+13 0.00127704555255
17 909.665724963 -3.03010207654e+13 0.00127653799378
18 909.528414667 -3.03055952703e+13 0.00127603061619
19 909.39110437 -3.03101711566e+13 0.00127552336376
20 909.253794074 -3.0314748425e+13 0.00127501632804
21 909.116483778 -3.0319327076e+13 0.00127450945168
22 908.979173482 -3.03239071103e+13 0.00127400272852
23 908.841863185 -3.03284885286e+13 0.00127349611553
24 908.704552889 -3.03330713314e+13 0.00127298968602
25 908.567242593 -3.03376555194e+13 0.00127248339819
26 908.429932296 -3.03422410932e+13 0.00127197725008
27 908.292622 -3.03468280535e+13 0.00127147124028
28 908.155311704 -3.03514164008e+13 0.00127096533859
29 908.018001408 -3.03560061358e+13 0.00127045960349
30 907.880691111 -3.03605972592e+13 0.00126995400448
31 907.743380815 -3.03651897715e+13 0.00126944854121
32 907.606070519 -3.03697836734e+13 0.00126894369911
33 907.468760222 -3.03743789655e+13 0.0012684385069
34 907.331449926 -3.03789756485e+13 0.00126793344967
35 907.19413963 -3.03835737229e+13 0.00126742852728
36 907.056829334 -3.03881731895e+13 0.00126692372118
37 906.919519037 -3.03927740488e+13 0.00126641906853
38 906.782208741 -3.03973763014e+13 0.00126591455038
39 906.644898445 -3.04019799481e+13 0.00126541016664
40 906.507588148 -3.04065849895e+13 0.00126490590266
41 906.370277852 -3.04111914261e+13 0.00126440178792
42 906.232967556 -3.04157992586e+13 0.00126389780741
43 906.09565726 -3.04204084877e+13 0.00126339396108
44 905.958346963 -3.0425019114e+13 0.00126289023747
45 905.821036667 -3.0429631138e+13 0.00126238665967
46 905.683726371 -3.04342445606e+13 0.00126188321595
47 905.546416074 -3.04388593822e+13 0.00126137990626
