lyn index =  26
input velocity PDF from ...  output/f_v12_01.out
computing the optical depth from Lya-absorbing clouds ...
48 902.286877546 -3.03348542743e+13 0.00102822442599
49 902.084520828 -3.03416590265e+13 0.00102764013421
50 901.88216411 -3.03484668322e+13 0.00102705605538
51 901.679807392 -3.03552776936e+13 0.00102647218965
52 901.477450675 -3.03620916127e+13 0.00102588853686
53 901.275093957 -3.03689085916e+13 0.0010253050969
54 901.072737239 -3.03757286323e+13 0.00102472186989
55 900.870380521 -3.03825517368e+13 0.0010241388557
56 900.668023803 -3.03893779073e+13 0.00102355605422
57 900.465667086 -3.03962071459e+13 0.00102297346556
58 900.263310368 -3.04030394545e+13 0.00102239108959
59 900.06095365 -3.04098748353e+13 0.00102180892624
60 899.858596932 -3.04167132903e+13 0.00102122697557
61 899.656240214 -3.04235548216e+13 0.00102064523747
62 899.453883497 -3.04303994312e+13 0.00102006371189
63 899.251526779 -3.04372471214e+13 0.00101948239885
64 899.049170061 -3.04440978941e+13 0.00101890129824
65 898.846813343 -3.04509517514e+13 0.00101832041009
66 898.644456625 -3.04578086953e+13 0.00101773973431
67 898.442099908 -3.04646687281e+13 0.0010171592709
68 898.23974319 -3.04715318518e+13 0.00101657901978
69 898.037386472 -3.04783980684e+13 0.00101599898094
70 897.835029754 -3.04852673801e+13 0.00101541915433
71 897.632673036 -3.04921397889e+13 0.00101483953993
72 897.430316319 -3.0499015297e+13 0.00101426013768
73 897.227959601 -3.05058939064e+13 0.00101368094754
74 897.025602883 -3.05127756193e+13 0.00101310196948
75 896.823246165 -3.05196604377e+13 0.00101252320345
76 896.620889447 -3.05265483637e+13 0.00101194464943
77 896.41853273 -3.05334393995e+13 0.00101136630736
78 896.216176012 -3.05403335472e+13 0.0010107881772
79 896.013819294 -3.05472308088e+13 0.00101021025893
80 895.811462576 -3.05541311865e+13 0.0010096325525
81 895.609105859 -3.05610346823e+13 0.00100905505787
82 895.406749141 -3.05679412985e+13 0.00100847777501
83 895.204392423 -3.05748510371e+13 0.00100790070387
84 895.002035705 -3.05817639002e+13 0.00100732384441
85 894.799678987 -3.058867989e+13 0.00100674719659
86 894.59732227 -3.05955990085e+13 0.00100617076039
87 894.394965552 -3.0602521258e+13 0.00100559453575
88 894.192608834 -3.06094466404e+13 0.00100501852263
89 893.990252116 -3.06163751581e+13 0.00100444272101
90 893.787895398 -3.0623306813e+13 0.00100386713083
91 893.585538681 -3.06302416073e+13 0.00100329175207
92 893.383181963 -3.06371795431e+13 0.00100271658467
93 893.180825245 -3.06441206227e+13 0.00100214162861
94 892.978468527 -3.0651064848e+13 0.00100156688384
95 892.776111809 -3.06580122214e+13 0.00100099235032
96 892.573755092 -3.06649627448e+13 0.00100041802801
97 892.371398374 -3.06719164204e+13 0.000999843916881
98 892.169041656 -3.06788732505e+13 0.000999270016884
99 891.966684938 -3.06858332371e+13 0.000998696327981
100 892.966684938 -3.06514693195e+13 0.00100153342194
101 893.269715241 -3.06410712013e+13 0.0010023941657
102 893.572745544 -3.06306801355e+13 0.00100325538331
103 893.875775847 -3.0620296115e+13 0.00100411707493
104 894.17880615 -3.06099191326e+13 0.00100497924068
105 894.481836453 -3.05995491812e+13 0.00100584188068
106 894.784866756 -3.05891862537e+13 0.00100670499509
107 895.087897059 -3.05788303428e+13 0.00100756858401
108 895.390927362 -3.05684814415e+13 0.00100843264759
109 895.693957665 -3.05581395427e+13 0.00100929718596
110 895.996987968 -3.05478046393e+13 0.00101016219925
111 896.300018272 -3.05374767241e+13 0.00101102768759
112 896.603048575 -3.052715579e+13 0.00101189365111
113 896.906078878 -3.05168418301e+13 0.00101276008995
114 897.209109181 -3.05065348372e+13 0.00101362700422
115 897.512139484 -3.04962348043e+13 0.00101449439408
116 897.815169787 -3.04859417243e+13 0.00101536225964
117 898.11820009 -3.04756555902e+13 0.00101623060105
118 898.421230393 -3.04653763949e+13 0.00101709941843
119 898.724260696 -3.04551041315e+13 0.00101796871192
120 899.027290999 -3.04448387929e+13 0.00101883848164
121 899.330321302 -3.04345803722e+13 0.00101970872774
122 899.633351605 -3.04243288623e+13 0.0010205794503
123 899.936381908 -3.04140842563e+13 0.00102145064953
124 900.239412211 -3.04038465471e+13 0.00102232232553
125 900.542442514 -3.03936157279e+13 0.00102319447837
126 900.845472817 -3.03833917917e+13 0.00102406710829
127 901.14850312 -3.03731747315e+13 0.00102494021532
128 901.451533423 -3.03629645404e+13 0.00102581379972
129 901.754563726 -3.03527612114e+13 0.00102668786147
130 902.057594029 -3.03425647378e+13 0.00102756240091
131 902.360624332 -3.03323751124e+13 0.00102843741799
132 902.663654635 -3.03221923285e+13 0.00102931291314
133 902.966684938 -3.03120163792e+13 0.00103018888638
134 903.269715241 -3.03018472576e+13 0.00103106533838
135 903.572745544 -3.02916849568e+13 0.00103194226918
136 903.875775847 -3.02815294699e+13 0.00103281967946
137 904.17880615 -3.02713807902e+13 0.00103369756867
138 904.481836453 -3.02612389107e+13 0.0010345759369
139 904.784866756 -3.02511038246e+13 0.00103545478349
140 905.087897059 -3.02409755252e+13 0.00103633410834
141 905.390927362 -3.02308540055e+13 0.00103721391113
142 905.693957665 -3.02207392588e+13 0.00103809419412
143 905.996987968 -3.02106312784e+13 0.00103897495606
144 906.300018272 -3.02005300573e+13 0.00103985619945
145 906.603048575 -3.01904355889e+13 0.00104073792869
146 906.906078878 -3.01803478663e+13 0.001061968087
147 907.209109181 -3.01702668828e+13 0.00107314091049
148 907.512139484 -3.01601926316e+13 0.00107590386161
149 907.815169787 -3.01501251061e+13 0.00107893776306
150 908.11820009 -3.01400642994e+13 0.00108234562233
151 908.421230393 -3.01300102049e+13 0.00108628603009
152 908.724260696 -3.01199628158e+13 0.00109100440043
153 909.027290999 -3.01099221255e+13 0.00109688188645
154 909.330321302 -3.00998881272e+13 0.00110451284352
155 909.633351605 -3.00898608142e+13 0.00111483103865
156 909.936381908 -3.00798401799e+13 0.00112932748474
157 910.239412211 -3.00698262176e+13 0.00115046711394
158 910.542442514 -3.00598189206e+13 0.0011826264536
159 910.845472817 -3.00498182823e+13 0.00123457088806
160 911.14850312 -3.0039824296e+13 0.0013262389007
161 911.451533423 -3.00298369551e+13 0.00150447784826
162 911.754563726 -3.0019856253e+13 0.0018660401222
163 912.057594029 -3.00098821831e+13 0.00255559101089
164 912.360624332 -2.99999147387e+13 0.00366703186478
165 912.663654635 -2.99899539133e+13 0.00503212386915
166 912.966684938 -2.99799997002e+13 0.00609993144602
167 913.269715241 -2.99700520929e+13 0.0062119147064
168 913.572745544 -2.99601110848e+13 0.0051671423506
169 913.875775847 -2.99501766694e+13 0.00345677760811
170 914.17880615 -2.994024884e+13 0.00184352487488
171 914.481836453 -2.99303275901e+13 0.000779605001433
172 914.784866756 -2.99204129133e+13 0.000260546261843
173 915.087897059 -2.99105048029e+13 6.86590633448e-05
174 915.390927362 -2.99006032525e+13 1.42440041418e-05
175 915.693957665 -2.98907082555e+13 2.32398446952e-06
176 915.996987968 -2.98808198055e+13 2.97723446898e-07
177 916.300018272 -2.98709378958e+13 3.01662026034e-08
178 916.603048575 -2.98610625202e+13 2.55752909366e-09
179 916.906078878 -2.98511936719e+13 3.20343729093e-10
180 917.209109181 -2.98413313447e+13 1.49846548705e-10
181 917.512139484 -2.98314755321e+13 1.25022794804e-10
182 917.815169787 -2.98216262275e+13 1.10670350719e-10
