lyn index =  31
input velocity PDF from ...  output/f_v12_01.out
computing the optical depth from Lya-absorbing clouds ...
101 892.936211429 -3.06413181057e+13 0.000201688464734
102 893.239241732 -3.06309230765e+13 0.000201962387258
103 893.542272035 -3.06205350979e+13 0.000202236588709
104 893.845302338 -3.06101541627e+13 0.000202511069274
105 894.148332641 -3.05997802638e+13 0.000202785829143
106 894.451362945 -3.05894133941e+13 0.000203060868505
107 894.754393248 -3.05790535463e+13 0.000203336187551
108 895.057423551 -3.05687007134e+13 0.00020361178647
109 895.360453854 -3.05583548882e+13 0.00020388766545
110 895.663484157 -3.05480160637e+13 0.000204163824683
111 895.96651446 -3.05376842326e+13 0.000204440264357
112 896.269544763 -3.0527359388e+13 0.000204716984662
113 896.572575066 -3.05170415227e+13 0.000204993985789
114 896.875605369 -3.05067306296e+13 0.000205271267927
115 897.178635672 -3.04964267018e+13 0.000205548831266
