lyn index =  23
input velocity PDF from ...  output/f_v12_01.out
computing the optical depth from Lya-absorbing clouds ...
0 912.0 -3.00218339947e+13 0.000821062636659
1 911.800733444 -3.00283950198e+13 0.000714707361603
2 911.601466888 -3.00349589133e+13 0.000648093870527
3 911.402200332 -3.0041525677e+13 0.000605964587571
4 911.202933776 -3.00480953128e+13 0.000578390746597
5 911.00366722 -3.00546678226e+13 0.000559511093792
6 910.804400664 -3.00612432083e+13 0.000546017901549
7 910.605134108 -3.00678214717e+13 0.000536037091753
8 910.405867552 -3.00744026148e+13 0.000528459395883
9 910.206600996 -3.00809866395e+13 0.00052258644146
10 910.00733444 -3.00875735475e+13 0.000517952357746
11 909.808067884 -3.0094163341e+13 0.000514232532235
12 909.608801329 -3.01007560216e+13 0.000511194199696
13 909.409534773 -3.01073515914e+13 0.000508667523643
14 909.210268217 -3.01139500522e+13 0.000506527261663
15 909.011001661 -3.01205514059e+13 0.000504680406415
16 908.811735105 -3.01271556545e+13 0.000503057660816
17 908.612468549 -3.01337627998e+13 0.000501607256082
18 908.413201993 -3.01403728438e+13 0.000500290451971
19 908.213935437 -3.01469857883e+13 0.000499078221381
20 908.014668881 -3.01536016352e+13 0.00049794877871
21 907.815402325 -3.01602203866e+13 0.000496885738327
22 907.616135769 -3.01668420442e+13 0.000495876740972
23 907.416869213 -3.017346661e+13 0.000494912427585
24 907.217602657 -3.01800940859e+13 0.0004927271125
25 907.018336101 -3.01867244739e+13 0.000480190380657
26 906.819069545 -3.01933577758e+13 0.000479768539663
27 906.619802989 -3.01999939936e+13 0.000479346976736
28 906.420536433 -3.02066331292e+13 0.000478925691697
29 906.221269877 -3.02132751846e+13 0.000478504684417
30 906.022003321 -3.02199201615e+13 0.000478083954773
31 905.822736765 -3.02265680621e+13 0.000477663502637
32 905.623470209 -3.02332188882e+13 0.000477243327889
33 905.424203653 -3.02398726417e+13 0.000476823430407
34 905.224937098 -3.02465293245e+13 0.000476403810065
35 905.025670542 -3.02531889387e+13 0.000475984466744
36 904.826403986 -3.02598514861e+13 0.000475565400318
37 904.62713743 -3.02665169687e+13 0.00047514661067
38 904.427870874 -3.02731853885e+13 0.000474728097675
39 904.228604318 -3.02798567472e+13 0.000474309861215
40 904.029337762 -3.02865310471e+13 0.000473891901168
41 903.830071206 -3.02932082898e+13 0.000473474217411
42 903.63080465 -3.02998884775e+13 0.000473056809826
43 903.431538094 -3.0306571612e+13 0.000472639678289
44 903.232271538 -3.03132576953e+13 0.000472222822677
45 903.033004982 -3.03199467293e+13 0.00047180624287
46 902.833738426 -3.03266387161e+13 0.000471389938744
47 902.63447187 -3.03333336575e+13 0.000470973910177
